"iGEM_ID";"Uniprot_id";"Part_Locus";"Protein_Locus"
"BBa_C0600";"P07017";"1---1659";"1---553"
"BBa_C0620";"P02942";"1---1653";"1---551"
"BBa_C100002";"Q9FYZ9";"1---1092";"1---364"
"BBa_C100003";"Q9AR07";"1---1167";"1---389"
"BBa_C100004";"Q9AR07";"1---1167";"1---389"
"BBa_C100006";"O64988";"1---1299";"1---433"
"BBa_C100007";"P38295";"1---1353";"1---451"
"BBa_C100008";"Q02891";"1---1368";"1---456"
"BBa_C100010";"Q96376";"1---2610";"1---870"
"BBa_C100011";"Q84NC8";"1---1737";"1---579"
"BBa_C100012";"Q84ND0";"1---1743";"1---581"
"BBa_C100013";"P33751";"1---726";"1---242"
"BBa_C100015";"Q96376";"1---2610";"1---870"
"BBa_C100016";"Q84NC8";"1---1737";"1---579"
"BBa_C100017";"Q84ND0";"1---1743";"1---581"
"BBa_C2006";"P0AEX9";"4---1101";"27---392"
"BBa_C2007";"P0AEX9";"265---1362";"27---392"
"BBa_C2008";"P0AEX9";"4---1101";"27---392"
"BBa_C2009";"P0AEX9";"4---1101";"27---392"
"BBa_C20091";"P0AEX9";"4---1101";"27---392"
"BBa_C20101";"P0AEX9";"4---1104";"27---393"
"BBa_C7053";"P03798";"1---354";"1---118"
"BBa_C7077";"P03796";"1---390";"1---130"
"BBa_E0020";"P42212";"4---717";"1---238"
"BBa_E0030";"P42212";"4---717";"1---238"
"BBa_E0040";"P42212";"1---714";"1---238"
"BBa_E1010";"Q9U6Y8";"1---663";"1---221"
"BBa_E2050";"Q9U6Y8";"49---693";"7---221"
"BBa_I11020";"P03700";"1---1068";"1---356"
"BBa_I11021";"P03699";"1---216";"1---72"
"BBa_I11024";"P03700";"18---1085";"1---356"
"BBa_I11030";"P04890";"1---1161";"1---387"
"BBa_I11031";"P04889";"1---348";"1---116"
"BBa_I11040";"P16407";"1---1071";"1---357"
"BBa_I11041";"P68927";"1---216";"1---72"
"BBa_I11050";"P27077";"1---1140";"1---380"
"BBa_I11051";"P27079";"1---234";"1---78"
"BBa_I12033";"P69202";"1---648";"1---216"
"BBa_I12043";"P03034";"246---956";"1---237"
"BBa_I12043";"P42212";"1070---1783";"1---238"
"BBa_I12200";"P03034";"1---711";"1---237"
"BBa_I12201";"Q3YWW4";"1---744";"1---248"
"BBa_I12202";"P04483";"1---621";"1---207"
"BBa_I12203";"P04483";"1---621";"1---207"
"BBa_I12205";"P0A9E0";"1---876";"1---292"
"BBa_I15009";"Q55891";"1---744";"1---248"
"BBa_I2032";"P00573";"1---2649";"1---883"
"BBa_I20531";"P06221";"1---2625";"1---874"
"BBa_I51002";"P17252";"1---2016";"1---672"
"BBa_I51004";"Q91Y86";"1---1152";"1---384"
"BBa_I51005";"Q95NE7";"1---1080";"1---360"
"BBa_I711000";"P07524";"1---819";"1---273"
"BBa_I711004";"P07524";"742---1029";"91---186"
"BBa_I711004";"P17687";"1---423";"1---141"
"BBa_I711008";"P33744";"1---2586";"1---862"
"BBa_I711011";"P33752";"1---654";"1---218"
"BBa_I711012";"P23673";"1---663";"1---221"
"BBa_I712002";"P51681";"1---1056";"1---352"
"BBa_I712003";"P51681";"1---1056";"1---352"
"BBa_I712010";"P01730";"1---1299";"26---458"
"BBa_I712012";"O15455";"1---453";"754---904"
"BBa_I712017";"P61072";"1---1008";"1---336"
"BBa_I712019";"P08659";"1---1617";"1---539"
"BBa_I712020";"P42574";"1---831";"1---277"
"BBa_I712021";"P01574";"1---561";"1---187"
"BBa_I712022";"P00573";"1---2649";"1---883"
"BBa_I712024";"P01730";"1---1374";"1---458"
"BBa_I712028";"Q9U6Y8";"34---678";"7---221"
"BBa_I712077";"P04517";"1---354";"2038---2155"
"BBa_I712078";"P04517";"1---372";"2156---2279"
"BBa_I712667";"P12497";"1---300";"488---587"
"BBa_I714002";"P14565";"1---5268";"1---1756"
"BBa_I714948";"P03023";"1083---4";"1---360"
"BBa_I715000";"P06956";"1---570";"1---190"
"BBa_I715001";"P06956";"2---460";"191---343"
"BBa_I715012";"P06956";"227---796";"1---190"
"BBa_I715014";"P06956";"227---1255";"1---343"
"BBa_I715022";"Q9U6Y8";"1---462";"1---154"
"BBa_I715025";"P62580";"2---502";"53---219"
"BBa_I715032";"P03023";"1119---40";"1---360"
"BBa_I716152";"Q1RCM8";"1---1254";"1---418"
"BBa_I716153";"P0ACB3";"1---972";"1---324"
"BBa_I716154";"P06983";"1---939";"1---313"
"BBa_I716155";"P09126";"1---696";"1---232"
"BBa_I716209";"P04419";"280---1740";"95---581"
"BBa_I716210";"P23940";"1---636";"2---213"
"BBa_I716211";"P00648";"1---330";"48---157"
"BBa_I716212";"P06956";"1---1029";"1---343"
"BBa_I716213";"P06956";"1---1029";"1---343"
"BBa_I716253";"P17750";"1---2178";"1---726"
"BBa_I716254";"P0AE21";"1---792";"1---264"
"BBa_I717013";"P04483";"1---618";"2---207"
"BBa_I718002";"Q8GGG1";"25---1398";"1---458"
"BBa_I718004";"P0A6L3";"1---876";"1---292"
"BBa_I718005";"Q04796";"1---840";"1---280"
"BBa_I722014";"P62594";"1---858";"1---286"
"BBa_I723017";"P06519";"1---1698";"1---566"
"BBa_I723024";"Q9HWH2";"1---1002";"1---334"
"BBa_I723025";"Q9HWG9";"1---1206";"1---402"
"BBa_I723028";"O69754";"4762---5595";"1---278"
"BBa_I723028";"P0DPC1";"2245---2865";"1---207"
"BBa_I725000";"P52046";"1---783";"1---261"
"BBa_I725011";"P52041";"1---846";"1---282"
"BBa_I725013";"P52042";"1---1137";"1---379"
"BBa_I725015";"Q04945";"1---1170";"1---390"
"BBa_I725016";"P45359";"1---1176";"1---392"
"BBa_I72512";"P52046";"1---783";"1---261"
"BBa_I728005";"Q8XE41";"79---1170";"25---367"
"BBa_I728950";"Q15063";"66---2528";"16---836"
"BBa_I728951";"P03956";"24---719";"238---469"
"BBa_I729001";"P12746";"1---750";"1---250"
"BBa_I729002";"P04949";"1---1536";"1---498"
"BBa_I729007";"P12746";"1---750";"1---250"
"BBa_I730000";"O69762";"1---828";"1---276"
"BBa_I730001";"O69762";"1---828";"1---276"
"BBa_I731002";"P0ADH5";"1---600";"1---200"
"BBa_I732005";"P00722";"1---3072";"1---1024"
"BBa_I732080";"P04483";"1---621";"1---207"
"BBa_I732100";"P03023";"1---1080";"1---360"
"BBa_I732101";"P03023";"1---1080";"1---360"
"BBa_I732102";"P03023";"1---1080";"1---360"
"BBa_I732103";"P03023";"1---1080";"1---360"
"BBa_I732104";"P03023";"1---1080";"1---360"
"BBa_I732105";"P03023";"1---1080";"1---360"
"BBa_I732106";"P03023";"1---1080";"1---360"
"BBa_I732107";"P03023";"1---1080";"1---360"
"BBa_I732108";"P03023";"1---1080";"1---360"
"BBa_I732109";"P03023";"1---1080";"1---360"
"BBa_I732110";"P03023";"1---1080";"1---360"
"BBa_I732111";"P03023";"1---1080";"1---360"
"BBa_I732112";"P03023";"1---1080";"1---360"
"BBa_I732113";"P03023";"1---1080";"1---360"
"BBa_I732114";"P03023";"1---1080";"1---360"
"BBa_I732115";"P03023";"1---1080";"1---360"
"BBa_I735000";"O69762";"1---828";"1---276"
"BBa_I735002";"P20052";"1---879";"1---293"
"BBa_I735004";"P20052";"1---879";"1---293"
"BBa_I738002";"O69762";"1---828";"1---276"
"BBa_I741005";"P0ACI3";"1---1176";"1---392"
"BBa_I741010";"P0ACI3";"1179---4";"1---392"
"BBa_I741022";"P0ACK1";"1---630";"1---210"
"BBa_I741106";"P00944";"1---1320";"1---440"
"BBa_I741107";"P00944";"1---1320";"1---440"
"BBa_I741110";"P03034";"1---711";"1---237"
"BBa_I741111";"P03040";"1---198";"1---66"
"BBa_I742003";"O69762";"1994---2821";"1---276"
"BBa_I742003";"O69763";"2921---4366";"1---482"
"BBa_I742011";"O69762";"1---828";"1---276"
"BBa_I742107";"P28002";"1---1095";"1---365"
"BBa_I742110";"Q8L5K3";"4---1665";"53---606"
"BBa_I742112";"O69762";"1---828";"1---276"
"BBa_I742116";"P21684";"43---948";"1---302"
"BBa_I742117";"P21687";"20---1165";"1---382"
"BBa_I742118";"P21688";"17---541";"1---175"
"BBa_I742119";"P21683";"1498---2424";"1---309"
"BBa_I742119";"P21685";"23---1495";"1---491"
"BBa_I742133";"P21683";"1498---2424";"1---309"
"BBa_I742133";"P21685";"23---1495";"1---491"
"BBa_I742135";"Q3YVF5";"14---907";"1---298"
"BBa_I742137";"P46889";"1---2211";"1---737"
"BBa_I742137";"Q8FJC7";"2449---3987";"835---1347"
"BBa_I742151";"P21684";"1---906";"1---302"
"BBa_I742154";"P21687";"1---1146";"1---382"
"BBa_I742157";"P21688";"1---525";"1---175"
"BBa_I742160";"P21683";"1476---2402";"1---309"
"BBa_I742160";"P21685";"1---1473";"1---491"
"BBa_I745004";"Q07813";"1---576";"1---192"
"BBa_I745005";"O08734";"1---378";"1---126"
"BBa_I746200";"P05825";"1---2205";"1---746"
"BBa_I746916";"P42212";"1---714";"1---238"
"BBa_I746917";"P42212";"1---714";"1---238"
"BBa_I746918";"P42212";"1---714";"1---238"
"BBa_I746919";"P42212";"1---714";"1---238"
"BBa_I746920";"P42212";"1---714";"1---238"
"BBa_I750005";"P17565";"7956---8903";"1---316"
"BBa_I750005";"P42196";"4489---5199";"1---237"
"BBa_I750005";"P42259";"5245---6837";"3---534"
"BBa_I750005";"P62594";"449---1306";"1---286"
"BBa_I750005";"Q59468";"2576---3697";"1---374"
"BBa_I750011";"Q99027";"1---2307";"1---769"
"BBa_I750013";"P14204";"1---642";"1---214"
"BBa_I752001";"P0A9H9";"1---588";"2---197"
"BBa_I753000";"O69762";"1---828";"1---276"
"BBa_I754000";"O69762";"1---828";"1---276"
"BBa_I756000";"Q5JSL3";"64---6282";"1---2073"
"BBa_I756004";"A0A0J9YX35";"35---379";"5---117"
"BBa_I756004";"P01715";"515---796";"21---114"
"BBa_I756005";"A0A0J9YX35";"35---379";"5---117"
"BBa_I756005";"P01715";"515---796";"21---114"
"BBa_I757004";"Q8S4Q6";"10---258";"120---202"
"BBa_I757005";"P00375";"10---330";"2---108"
"BBa_I757006";"P00375";"1---246";"106---187"
"BBa_I757007";"P14712";"1---1218";"1---406"
"BBa_I757008";"P42212";"1---714";"1---238"
"BBa_I757009";"P42212";"10---723";"1---238"
"BBa_I757010";"P62594";"1---858";"1---284"
"BBa_I757011";"P62594";"7---495";"23---185"
"BBa_I757012";"P62594";"13---279";"198---286"
"BBa_I760000";"O69762";"1---828";"1---276"
"BBa_I761004";"Q9JHR7";"91---3147";"1---1019"
"BBa_I762000";"O69762";"1---828";"1---276"
"BBa_I765002";"P0ABU7";"1---732";"1---244"
"BBa_I765003";"Q05613";"451---732";"150---243"
"BBa_I766002";"P31498";"10---873";"1---288"
"BBa_I766007";"P08538";"10---1413";"1---468"
"BBa_I766100";"Q31SR9";"10---726";"1---239"
"BBa_I766101";"Q9U6Y8";"46---690";"7---221"
"BBa_I766202";"Q13496";"1---1806";"2---603"
"BBa_I766203";"Q9N589";"1---1761";"2---588"
"BBa_I766204";"P0CI39";"1---1293";"1---431"
"BBa_I766210";"P42212";"1---711";"2---238"
"BBa_I766220";"P42336";"1---3201";"2---1068"
"BBa_I766231";"Q15075";"16---420";"1277---1411"
"BBa_I766232";"P51178";"7---519";"3---173"
"BBa_I766234";"Q03769";"1---552";"2---185"
"BBa_I766336";"Q9H160";"1---243";"200---280"
"BBa_I766348";"P51178";"1---504";"6---173"
"BBa_I769001";"P43974";"897---76";"39---312"
"BBa_I769102";"O69762";"1---828";"1---276"
"BBa_I769104";"O69762";"1---828";"1---276"
"BBa_I769900";"P07589";"3---290";"2383---2478"
"BBa_I9200";"P03034";"1---711";"1---237"
"BBa_J01000";"P06626";"1---687";"1---229"
"BBa_J01001";"P17909";"1---369";"1---123"
"BBa_J01004";"P06534";"4---378";"143---267"
"BBa_J03210";"P0AEX9";"1---342";"1---114"
"BBa_J05113";"P21506";"1---300";"1---100"
"BBa_J05114";"P0AFF9";"1---396";"1---132"
"BBa_J06500";"P03023";"10---1089";"1---360"
"BBa_J06501";"P03023";"10---1089";"1---360"
"BBa_J06503";"P03034";"1---711";"1---237"
"BBa_J07006";"P0AEX9";"1---1188";"1---396"
"BBa_J07009";"P15795";"1---630";"1---210"
"BBa_J07017";"P13036";"1---2322";"1---774"
"BBa_J07018";"P13036";"1---2322";"1---774"
"BBa_J07021";"P23485";"1---951";"1---317"
"BBa_J07022";"P23484";"1---519";"1---173"
"BBa_J07023";"P23485";"1---951";"1---317"
"BBa_J07046";"P01631";"1---336";"1---112"
"BBa_J07047";"P01631";"415---750";"1---112"
"BBa_J07047";"P13036";"1234---3141";"139---774"
"BBa_J07048";"P01631";"466---801";"1---112"
"BBa_J07048";"P13036";"1285---3141";"156---774"
"BBa_J07049";"P01631";"529---864";"1---112"
"BBa_J07049";"P13036";"1201---3141";"140---774"
"BBa_J07050";"P01631";"535---870";"1---112"
"BBa_J07050";"P13036";"1207---3141";"140---774"
"BBa_J07051";"P01631";"541---876";"1---112"
"BBa_J07051";"P13036";"1213---3141";"140---774"
"BBa_J07052";"P01631";"1582---1917";"1---112"
"BBa_J07052";"P13036";"1---1593";"1---531"
"BBa_J07053";"P01631";"1714---2049";"1---112"
"BBa_J07053";"P13036";"1---1713";"1---571"
"BBa_J07054";"P01631";"412---747";"1---112"
"BBa_J07054";"P13036";"1231---3129";"142---774"
"BBa_J07055";"P01631";"463---798";"1---112"
"BBa_J07055";"P13036";"1279---3129";"158---774"
"BBa_J07056";"P01631";"526---861";"1---112"
"BBa_J07056";"P13036";"1198---3126";"140---774"
"BBa_J07057";"P01631";"532---867";"1---112"
"BBa_J07057";"P13036";"1204---3126";"140---774"
"BBa_J07058";"P01631";"538---873";"1---112"
"BBa_J07058";"P13036";"1210---3126";"140---774"
"BBa_J07059";"P01631";"1579---1914";"1---112"
"BBa_J07059";"P13036";"1---1578";"1---526"
"BBa_J07060";"P01631";"1567---1902";"1---112"
"BBa_J07060";"P13036";"1---1566";"1---522"
"BBa_J07061";"P01631";"1711---2046";"1---112"
"BBa_J07061";"P13036";"1---1710";"1---570"
"BBa_J07062";"P01631";"1561---1896";"1---112"
"BBa_J07062";"P13036";"1---1560";"1---520"
"BBa_J07063";"P01631";"1699---2034";"1---112"
"BBa_J07063";"P13036";"1---1698";"1---566"
"BBa_J07064";"P00634";"1---1413";"1---471"
"BBa_J09271";"P0AF06";"1---924";"1---308"
"BBa_J100000";"P06956";"36---1061";"2---343"
"BBa_J100013";"P12747";"63---632";"4---193"
"BBa_J100014";"P12747";"71---646";"2---193"
"BBa_J100040";"P12747";"109---678";"4---193"
"BBa_J100042";"P12747";"127---696";"4---193"
"BBa_J100044";"P12747";"129---698";"4---193"
"BBa_J100070";"P42212";"1---714";"1---238"
"BBa_J100100";"P14779";"31---3177";"1---1049"
"BBa_J100107";"P0A9Q7";"3---2618";"1---872"
"BBa_J100109";"P0A9Q7";"15---2630";"1---872"
"BBa_J100113";"P42212";"167---880";"1---238"
"BBa_J100116";"P0A9Q7";"167---2782";"1---872"
"BBa_J100131";"P05231";"37---588";"29---212"
"BBa_J100132";"Q3YY33";"34---825";"1---264"
"BBa_J100238";"P02981";"147---1334";"1---396"
"BBa_J100239";"P02981";"212---1399";"1---396"
"BBa_J100408";"P46976";"85---1083";"1---350"
"BBa_J10065";"P12747";"1---579";"1---193"
"BBa_J10066";"P22629";"4---384";"37---163"
"BBa_J10067";"P05655";"1---1419";"1---473"
"BBa_J107033";"P03034";"1---711";"1---237"
"BBa_J107059";"P0AC40";"1473---40";"1---478"
"BBa_J119009";"P00573";"146---2788";"3---883"
"BBa_J119040";"P42212";"1---714";"1---238"
"BBa_J119041";"P42212";"1---714";"1---238"
"BBa_J119042";"P05655";"140---1558";"1---473"
"BBa_J119055";"P00573";"168---2810";"3---883"
"BBa_J119056";"P00573";"168---2810";"3---883"
"BBa_J119057";"P00573";"168---2810";"3---883"
"BBa_J119058";"P00573";"168---2810";"3---883"
"BBa_J119059";"P00573";"168---2810";"3---883"
"BBa_J119060";"P00573";"168---2810";"3---883"
"BBa_J146002";"Q55DU3";"1---276";"1---92"
"BBa_J15101";"P37309";"1---351";"1---117"
"BBa_J15104";"P0A9G5";"1---405";"1---135"
"BBa_J15504";"P03023";"1---1080";"1---360"
"BBa_J17003";"Q8CGK7";"1---1143";"1---381"
"BBa_J176004";"P42212";"1---714";"1---238"
"BBa_J176006";"P42212";"1---714";"1---238"
"BBa_J18958";"P42212";"1---714";"1---238"
"BBa_J18959";"Q9U6Y8";"1---663";"1---221"
"BBa_J18960";"P42212";"16---726";"2---238"
"BBa_J212006";"A0A024RXP8";"1---1542";"1---514"
"BBa_J22056";"P12747";"1---579";"1---193"
"BBa_J22056";"P42212";"595---1308";"1---238"
"BBa_J22101";"P02920";"35---1285";"1---417"
"BBa_J23011";"P10026";"1---381";"1---127"
"BBa_J23013";"Q00185";"1---1905";"1---635"
"BBa_J23014";"P18473";"46---636";"16---212"
"BBa_J23045";"P42212";"248---715";"83---238"
"BBa_J24807";"P69413";"15---446";"1---144"
"BBa_J29002";"P21685";"1---1476";"1---492"
"BBa_J29009";"P02942";"1---1653";"1---551"
"BBa_J29024";"P22939";"1---897";"1---299"
"BBa_J29026";"Q79PF6";"1---738";"39---284"
"BBa_J29027";"Q5N595";"1---306";"1---102"
"BBa_J29028";"P0ABG9";"1---1110";"1---370"
"BBa_J29029";"P0AD65";"1---1899";"1---633"
"BBa_J29030";"P21687";"1---1146";"1---382"
"BBa_J29031";"Q3Z2X5";"1---264";"1---88"
"BBa_J29033";"Q79PF4";"1---1557";"1---519"
"BBa_J29037";"Q06904";"1---1161";"1---387"
"BBa_J29039";"Q3Z2X5";"1---264";"1---88"
"BBa_J29040";"B7MK73";"1---693";"1---231"
"BBa_J29041";"P0AEZ6";"1---810";"1---270"
"BBa_J29042";"P0A9A6";"1---1149";"1---383"
"BBa_J29046";"P02942";"1---786";"290---551"
"BBa_J29050";"Q6USK1";"1---1701";"1---567"
"BBa_J29051";"O24475";"1---1884";"1---628"
"BBa_J29052";"O42641";"1---753";"1---251"
"BBa_J29053";"Q7A3E1";"1---861";"1---287"
"BBa_J31000";"P03013";"1---570";"1---190"
"BBa_J31001";"P03013";"1---570";"1---190"
"BBa_J31002";"P00551";"816---4";"1---271"
"BBa_J31003";"P00551";"1---813";"1---271"
"BBa_J31005";"P62580";"1---657";"1---219"
"BBa_J31006";"P02981";"1191---4";"1---396"
"BBa_J31007";"P02981";"1---1188";"1---396"
"BBa_J32000";"P11922";"34---2988";"1---985"
"BBa_J32002";"P25524";"1---1281";"1---427"
"BBa_J32004";"P62552";"1---216";"1---72"
"BBa_J32006";"P09790";"800---1771";"1209---1532"
"BBa_J32007";"P19839";"2427---3485";"1---353"
"BBa_J32007";"P19840";"3524---4504";"1---327"
"BBa_J32007";"Q7N577";"1---1419";"1---473"
"BBa_J32009";"P03372";"244---1059";"282---559"
"BBa_J32018";"P09790";"283---1254";"1209---1532"
"BBa_J32019";"P25524";"1---1281";"1---427"
"BBa_J32020";"P62594";"1---849";"1---283"
"BBa_J32021";"P62580";"1---657";"1---219"
"BBa_J32022";"P42212";"227---922";"1---232"
"BBa_J32023";"P35804";"73---600";"26---201"
"BBa_J33209";"O69762";"1---828";"1---276"
"BBa_J34802";"Q57J56";"748---1449";"2---235"
"BBa_J34804";"P09814";"4---708";"2002---2236"
"BBa_J34807";"Q3YWW4";"748---1449";"2---235"
"BBa_J34808";"P04517";"4---711";"2038---2273"
"BBa_J36801";"Q79PF6";"1---852";"1---284"
"BBa_J36802";"Q5N595";"1---306";"1---102"
"BBa_J36804";"Q79PF4";"1---1557";"1---519"
"BBa_J36837";"P0A910";"1---342";"67---180"
"BBa_J36840";"P22629";"1---381";"37---163"
"BBa_J36841";"P22629";"1---381";"37---163"
"BBa_J36842";"P22629";"1---381";"37---163"
"BBa_J37023";"Q9L8R8";"28---777";"1---250"
"BBa_J37029";"P06956";"1---1029";"1---343"
"BBa_J40004";"P09790";"685---1935";"1116---1532"
"BBa_J40004";"P42212";"229---696";"1---156"
"BBa_J40005";"P09790";"685---1935";"1116---1532"
"BBa_J40005";"P42212";"229---696";"1---156"
"BBa_J40006";"P09790";"484---1728";"1118---1532"
"BBa_J40006";"P42212";"232---483";"155---238"
"BBa_J42000";"P77334";"1---1983";"1---661"
"BBa_J42010";"Q3YWT0";"46---417";"1---124"
"BBa_J42020";"P0AG05";"1---789";"1---263"
"BBa_J42021";"P14511";"1---777";"11---269"
"BBa_J45002";"Q9FYZ9";"1---1092";"1---364"
"BBa_J45003";"Q9AR07";"1---1167";"1---389"
"BBa_J45005";"Q9SPV4";"1---1077";"1---359"
"BBa_J45006";"P40353";"1---1575";"1---525"
"BBa_J45008";"P47176";"1---1128";"1---376"
"BBa_J45009";"Q07471";"1---1827";"1---609"
"BBa_J45014";"P40353";"1---1575";"1---525"
"BBa_J45015";"P95477";"3078---4292";"1---405"
"BBa_J45017";"Q51507";"1---297";"1---99"
"BBa_J45017";"Q51508";"303---1730";"1---476"
"BBa_J45501";"P04716";"1---333";"1---111"
"BBa_J51000";"Q99027";"1---2307";"1---769"
"BBa_J51001";"P14204";"1---642";"1---214"
"BBa_J51002";"P33690";"1---897";"1---299"
"BBa_J51003";"P02942";"1---1653";"1---551"
"BBa_J52011";"P27652";"436---1368";"1---311"
"BBa_J52011";"Q99836";"7---417";"160---296"
"BBa_J52013";"P0DJG0";"1426---1869";"16---163"
"BBa_J52013";"P27652";"436---1368";"1---311"
"BBa_J52013";"Q99836";"7---417";"160---296"
"BBa_J52019";"Q9Y4K3";"4---711";"287---522"
"BBa_J52021";"P42212";"742---1443";"5---238"
"BBa_J52021";"Q9Y4K3";"4---705";"287---520"
"BBa_J52026";"P42212";"439---1152";"1---238"
"BBa_J52026";"Q99836";"7---417";"160---296"
"BBa_J52035";"Q99836";"7---417";"160---296"
"BBa_J54000";"P0ACK5";"1---756";"1---252"
"BBa_J54001";"P0ACP0";"1---1023";"1---341"
"BBa_J54002";"P25748";"1---1038";"1---346"
"BBa_J54003";"P03024";"1---1029";"1---343"
"BBa_J54004";"P03024";"1---1029";"1---343"
"BBa_J54012";"P0ACL1";"1---756";"1---252"
"BBa_J56001";"P0A967";"1---501";"1---167"
"BBa_J56002";"P07017";"1---1659";"1---553"
"BBa_J56003";"P07017";"1---1659";"1---553"
"BBa_J56005";"P07017";"1---771";"1---257"
"BBa_J56006";"P07017";"1---888";"258---553"
"BBa_J56008";"P07017";"1---771";"1---257"
"BBa_J56009";"P07017";"1---888";"258---553"
"BBa_J56018";"P0A967";"1---501";"1---167"
"BBa_J58104";"P05704";"1---801";"1---267"
"BBa_J58105";"P02925";"1---888";"1---296"
"BBa_J58112";"P0ACK1";"1---630";"1---210"
"BBa_J61044";"P13128";"4---1518";"25---529"
"BBa_J61047";"P06956";"1---1029";"1---343"
"BBa_J61049";"P11922";"22---2976";"1---985"
"BBa_J61050";"P36667";"19---810";"1---264"
"BBa_J61213";"P08515";"1---654";"1---218"
"BBa_J62005";"P54839";"1---1473";"1---491"
"BBa_J62009";"P54839";"1---1473";"1---491"
"BBa_J62010";"P54839";"1---1467";"1---489"
"BBa_J64002";"P0CL16";"43---390";"1---116"
"BBa_J64003";"P74873";"1---501";"1---167"
"BBa_J64004";"Q15811";"4---612";"1228---1430"
"BBa_J64009";"P0A1N0";"1---405";"1---135"
"BBa_J64012";"P0CL52";"1---507";"1---169"
"BBa_J64014";"B4T918";"1---288";"1---96"
"BBa_J64016";"Q7CQD4";"1---315";"1---105"
"BBa_J64019";"P40612";"1---426";"1---142"
"BBa_J64021";"P69066";"1---495";"1---165"
"BBa_J64023";"P0CL47";"1---363";"1---121"
"BBa_J64025";"O30917";"1---339";"1---113"
"BBa_J64027";"O30916";"1---504";"1---168"
"BBa_J64036";"Q15811";"1---609";"1228---1430"
"BBa_J64701";"P03963";"1---1545";"1---515"
"BBa_J64702";"P03947";"1---1011";"1---338"
"BBa_J64703";"P03964";"1---750";"1---249"
"BBa_J64704";"P20167";"1---645";"1---215"
"BBa_J64705";"P07600";"1---1200";"1---400"
"BBa_J64706";"P07601";"1---801";"1---267"
"BBa_J64718";"P54291";"1---603";"1---201"
"BBa_J64805";"P38021";"1---1170";"1---390"
"BBa_J64806";"P39137";"1---1401";"1---467"
"BBa_J64821";"Q9HZ46";"1---993";"1---331"
"BBa_J64905";"P08369";"1---1350";"1---450"
"BBa_J64906";"P08401";"1---1422";"1---474"
"BBa_J64952";"P0AE94";"1---471";"1---157"
"BBa_J64969";"P08368";"1---660";"1---220"
"BBa_J64971";"P39138";"1---888";"1---296"
"BBa_J64977";"P0AFB8";"1410---4";"1---469"
"BBa_J64978";"P0AFB7";"1---1047";"1---349"
"BBa_J70024";"Q47810";"1---1917";"1---639"
"BBa_J70519";"P42212";"243---956";"1---238"
"BBa_J70557";"P42212";"226---957";"1---238"
"BBa_J70560";"P42212";"34---741";"3---238"
"BBa_J70569";"P42212";"193---663";"1---157"
"BBa_J70582";"P42212";"10---720";"2---238"
"BBa_J70583";"Q6WRH6";"7---1260";"2---419"
"BBa_J70584";"Q8PWY1";"1---1362";"1---454"
"BBa_J70599";"Q9S3V1";"1---1254";"1---418"
"BBa_J70600";"Q9S3V0";"1---2994";"1---998"
"BBa_J70601";"Q9S3U9";"64---1287";"22---429"
"BBa_J70602";"Q9S3U8";"1---1119";"1---373"
"BBa_J70613";"P42212";"15---722";"3---238"
"BBa_J70614";"P42212";"39---746";"3---238"
"BBa_J70630";"P0AEX9";"38---1135";"27---392"
"BBa_J70630";"P42212";"1145---1852";"3---238"
