"iGEM_ID";"composition";"Locus";"Type";"length"
"BBa_I746392";"BBa_I746309";"1--1482";"brick";3334
"BBa_I746392";"BBa_I0500";"1--1210";"brick";3334
"BBa_I746392";"BBa_I746322";"2360--3334";"brick";3334
"BBa_I746392";"BBa_I13507";"1491--2351";"brick";3334
"BBa_I746392";"BBa_E0040";"2478--3197";"brick";3334
"BBa_I746392";"BBa_E1010";"1509--2189";"brick";3334
"BBa_I746392";"BBa_I746352";"1219--1482";"brick";3334
"BBa_I746392";"BBa_I746362";"2360--2451";"brick";3334
"BBa_I746392";"BBa_B0010";"2223--2302";"brick";3334
"BBa_I746392";"BBa_B0010";"3206--3285";"brick";3334
"BBa_I746392";"BBa_B0012";"2311--2351";"brick";3334
"BBa_I746392";"BBa_B0012";"3294--3334";"brick";3334
"BBa_I746392";"BBa_B0034";"1219--1230";"brick";3334
"BBa_I746392";"BBa_B0034";"1491--1502";"brick";3334
"BBa_I746392";"BBa_B0034";"2460--2471";"brick";3334
"BBa_I746394";"BBa_I746315";"1--2351";"brick";3335
"BBa_I746394";"BBa_I746309";"1--1482";"brick";3335
"BBa_I746394";"BBa_I0500";"1--1210";"brick";3335
"BBa_I746394";"BBa_I746324";"2360--3335";"brick";3335
"BBa_I746394";"BBa_I13507";"1491--2351";"brick";3335
"BBa_I746394";"BBa_E0040";"2479--3198";"brick";3335
"BBa_I746394";"BBa_E1010";"1509--2189";"brick";3335
"BBa_I746394";"BBa_I746352";"1219--1482";"brick";3335
"BBa_I746394";"BBa_I746364";"2360--2452";"brick";3335
"BBa_I746394";"BBa_B0010";"2223--2302";"brick";3335
"BBa_I746394";"BBa_B0010";"3207--3286";"brick";3335
"BBa_I746394";"BBa_B0012";"2311--2351";"brick";3335
"BBa_I746394";"BBa_B0012";"3295--3335";"brick";3335
"BBa_I746394";"BBa_B0034";"1219--1230";"brick";3335
"BBa_I746394";"BBa_B0034";"1491--1502";"brick";3335
"BBa_I746394";"BBa_B0034";"2461--2472";"brick";3335
"BBa_I746395";"BBa_I746315";"1--2351";"brick";3334
"BBa_I746395";"BBa_I746309";"1--1482";"brick";3334
"BBa_I746395";"BBa_I0500";"1--1210";"brick";3334
"BBa_I746395";"BBa_I746325";"2360--3334";"brick";3334
"BBa_I746395";"BBa_I13504";"2460--3334";"brick";3334
"BBa_I746395";"BBa_I13507";"1491--2351";"brick";3334
"BBa_I746395";"BBa_E0040";"2478--3197";"brick";3334
"BBa_I746395";"BBa_E1010";"1509--2189";"brick";3334
"BBa_I746395";"BBa_I746352";"1219--1482";"brick";3334
"BBa_I746395";"BBa_I746365";"2360--2451";"brick";3334
"BBa_I746395";"BBa_B0010";"2223--2302";"brick";3334
"BBa_I746395";"BBa_B0010";"3206--3285";"brick";3334
"BBa_I746395";"BBa_B0012";"2311--2351";"brick";3334
"BBa_I746395";"BBa_B0012";"3294--3334";"brick";3334
"BBa_I746395";"BBa_B0034";"1219--1230";"brick";3334
"BBa_I746395";"BBa_B0034";"1491--1502";"brick";3334
"BBa_I746395";"BBa_B0034";"2460--2471";"brick";3334
"BBa_I751100";"BBa_C0062";"178--958";"brick";2035
"BBa_I751100";"BBa_E0040";"1179--1897";"brick";2035
"BBa_I751100";"BBa_J54033";"1104--1123";"brick";2035
"BBa_I751100";"BBa_J54025";"1130--1149";"brick";2035
"BBa_I751100";"BBa_R0063";"1--151";"brick";2035
"BBa_I751100";"BBa_B0030";"1158--1172";"brick";2035
"BBa_I751100";"BBa_B0034";"160--171";"brick";2035
"BBa_I751100";"BBa_B0010";"967--1046";"brick";2035
"BBa_I751100";"BBa_B0010";"1907--1985";"brick";2035
"BBa_I751100";"BBa_B0012";"1055--1095";"brick";2035
"BBa_I751100";"BBa_B0012";"1995--2035";"brick";2035
"BBa_I751101";"BBa_C0062";"178--958";"brick";2113
"BBa_I751101";"BBa_E0040";"1257--1975";"brick";2113
"BBa_I751101";"BBa_J54033";"1104--1123";"brick";2113
"BBa_I751101";"BBa_J54025";"1208--1227";"brick";2113
"BBa_I751101";"BBa_R0063";"1--151";"brick";2113
"BBa_I751101";"BBa_B0030";"1236--1250";"brick";2113
"BBa_I751101";"BBa_B0034";"160--171";"brick";2113
"BBa_I751101";"BBa_B0010";"967--1046";"brick";2113
"BBa_I751101";"BBa_B0010";"1985--2063";"brick";2113
"BBa_I751101";"BBa_B0012";"1055--1095";"brick";2113
"BBa_I751101";"BBa_B0012";"2073--2113";"brick";2113
"BBa_I751102";"BBa_C0062";"178--958";"brick";2105
"BBa_I751102";"BBa_E0040";"1249--1967";"brick";2105
"BBa_I751102";"BBa_J54025";"1200--1219";"brick";2105
"BBa_I751102";"BBa_J54033";"1104--1121";"brick";2105
"BBa_I751102";"BBa_R0063";"1--151";"brick";2105
"BBa_I751102";"BBa_B0030";"1228--1242";"brick";2105
"BBa_I751102";"BBa_B0034";"160--171";"brick";2105
"BBa_I751102";"BBa_B0010";"967--1046";"brick";2105
"BBa_I751102";"BBa_B0010";"1977--2055";"brick";2105
"BBa_I751102";"BBa_B0012";"1055--1095";"brick";2105
"BBa_I751102";"BBa_B0012";"2065--2105";"brick";2105
"BBa_I751103";"BBa_C0062";"178--958";"brick";2086
"BBa_I751103";"BBa_E0040";"1230--1948";"brick";2086
"BBa_I751103";"BBa_J54025";"1181--1200";"brick";2086
"BBa_I751103";"BBa_J54033";"1104--1121";"brick";2086
"BBa_I751103";"BBa_R0063";"1--151";"brick";2086
"BBa_I751103";"BBa_B0030";"1209--1223";"brick";2086
"BBa_I751103";"BBa_B0034";"160--171";"brick";2086
"BBa_I751103";"BBa_B0010";"967--1046";"brick";2086
"BBa_I751103";"BBa_B0010";"1958--2036";"brick";2086
"BBa_I751103";"BBa_B0012";"1055--1095";"brick";2086
"BBa_I751103";"BBa_B0012";"2046--2086";"brick";2086
"BBa_I759009";"BBa_S03724";"843--1862";"brick";1862
"BBa_I759009";"BBa_S03708";"980--1862";"brick";1862
"BBa_I759009";"BBa_P0440";"1023--1862";"brick";1862
"BBa_I759009";"BBa_I759008";"1--834";"brick";1862
"BBa_I759009";"BBa_C0040";"1041--1700";"brick";1862
"BBa_I759009";"BBa_B0015";"843--971";"brick";1862
"BBa_I759009";"BBa_B0010";"843--922";"brick";1862
"BBa_I759009";"BBa_B0010";"1734--1813";"brick";1862
"BBa_I759009";"BBa_B0012";"931--971";"brick";1862
"BBa_I759009";"BBa_B0012";"1822--1862";"brick";1862
"BBa_I759009";"BBa_J23116";"980--1014";"brick";1862
"BBa_I759009";"BBa_B0034";"1023--1034";"brick";1862
"BBa_I759016";"BBa_S03724";"838--1857";"brick";1857
"BBa_I759016";"BBa_S03708";"975--1857";"brick";1857
"BBa_I759016";"BBa_P0440";"1018--1857";"brick";1857
"BBa_I759016";"BBa_I759038";"1--829";"brick";1857
"BBa_I759016";"BBa_C0040";"1036--1695";"brick";1857
"BBa_I759016";"BBa_B0015";"838--966";"brick";1857
"BBa_I759016";"BBa_B0010";"838--917";"brick";1857
"BBa_I759016";"BBa_B0010";"1729--1808";"brick";1857
"BBa_I759016";"BBa_B0012";"926--966";"brick";1857
"BBa_I759016";"BBa_B0012";"1817--1857";"brick";1857
"BBa_I759016";"BBa_J23116";"975--1009";"brick";1857
"BBa_I759016";"BBa_B0034";"1018--1029";"brick";1857
"BBa_I759020";"BBa_S03724";"842--1861";"brick";1861
"BBa_I759020";"BBa_S03708";"979--1861";"brick";1861
"BBa_I759020";"BBa_P0440";"1022--1861";"brick";1861
"BBa_I759020";"BBa_I759046";"1--833";"brick";1861
"BBa_I759020";"BBa_C0040";"1040--1699";"brick";1861
"BBa_I759020";"BBa_B0015";"842--970";"brick";1861
"BBa_I759020";"BBa_B0010";"842--921";"brick";1861
"BBa_I759020";"BBa_B0010";"1733--1812";"brick";1861
"BBa_I759020";"BBa_B0012";"930--970";"brick";1861
"BBa_I759020";"BBa_B0012";"1821--1861";"brick";1861
"BBa_I759020";"BBa_J23116";"979--1013";"brick";1861
"BBa_I759020";"BBa_B0034";"1022--1033";"brick";1861
"BBa_J04480";"BBa_E0030";"227--949";"brick";1086
"BBa_J04480";"BBa_R0010";"1--200";"brick";1086
"BBa_J04480";"BBa_B0010";"958--1037";"brick";1086
"BBa_J04480";"BBa_B0012";"1046--1086";"brick";1086
"BBa_J04480";"BBa_B0034";"209--220";"brick";1086
"BBa_J23066";"BBa_J23009";"103--199";"brick";336
"BBa_J23066";"BBa_J23008";"1--94";"brick";336
"BBa_J23066";"BBa_B0010";"208--287";"brick";336
"BBa_J23066";"BBa_B0012";"296--336";"brick";336
"BBa_J36335";"BBa_J36804";"1321--2883";"brick";2883
"BBa_J36335";"BBa_J36801";"229--1086";"brick";2883
"BBa_J36335";"BBa_R0010";"1--200";"brick";2883
"BBa_J36335";"BBa_R0010";"1095--1294";"brick";2883
"BBa_J36335";"BBa_B0034";"209--220";"brick";2883
"BBa_J36335";"BBa_B0034";"1303--1314";"brick";2883
"BBa_J45397";"BBa_J45008";"22--1155";"brick";1178
"BBa_J45397";"BBa_B0030";"1--15";"brick";1178
"BBa_J45397";"BBa_B0030";"1164--1178";"brick";1178
"BBa_J52038";"BBa_J52008";"661--1596";"brick";1596
"BBa_J52038";"BBa_J52034";"1--654";"brick";1596
"BBa_K081000";"BBa_C0061";"22--639";"brick";774
"BBa_K081000";"BBa_R0062";"720--774";"brick";774
"BBa_K081000";"BBa_B1006";"673--711";"brick";774
"BBa_K081000";"BBa_B1006";"673--711";"brick";774
"BBa_K081000";"BBa_B0030";"1--15";"brick";774
"BBa_K081022";"BBa_C0062";"79--834";"brick";969
"BBa_K081022";"BBa_R0062";"915--969";"brick";969
"BBa_K081022";"BBa_R0051";"1--49";"brick";969
"BBa_K081022";"BBa_B1006";"868--906";"brick";969
"BBa_K081022";"BBa_B1006";"868--906";"brick";969
"BBa_K081022";"BBa_B0030";"58--72";"brick";969
"BBa_K082013";"BBa_C0070";"1--667";"brick";804
"BBa_K082013";"BBa_B0015";"676--804";"brick";804
"BBa_K082013";"BBa_B0010";"676--755";"brick";804
"BBa_K082013";"BBa_B0012";"764--804";"brick";804
"BBa_K082014";"BBa_C0261";"1--661";"brick";798
"BBa_K082014";"BBa_C0061";"19--636";"brick";798
"BBa_K082014";"BBa_B0015";"670--798";"brick";798
"BBa_K082014";"BBa_B0010";"670--749";"brick";798
"BBa_K082014";"BBa_B0012";"758--798";"brick";798
"BBa_K082014";"BBa_B0034";"1--12";"brick";798
"BBa_K082015";"BBa_K082003";"1--756";"brick";893
"BBa_K082015";"BBa_B0010";"765--844";"brick";893
"BBa_K082015";"BBa_B0012";"853--893";"brick";893
"BBa_K091145";"BBa_K091133";"1--841";"brick";978
"BBa_K091145";"BBa_S0101";"139--841";"brick";978
"BBa_K091145";"BBa_C0040";"157--816";"brick";978
"BBa_K091145";"BBa_I13453";"1--130";"brick";978
"BBa_K091145";"BBa_B0015";"850--978";"brick";978
"BBa_K091145";"BBa_B0010";"850--929";"brick";978
"BBa_K091145";"BBa_B0012";"938--978";"brick";978
"BBa_K091145";"BBa_B0034";"139--150";"brick";978
"BBa_K091171";"BBa_P0455";"139--1034";"brick";1034
"BBa_K091171";"BBa_C0051";"157--906";"brick";1034
"BBa_K091171";"BBa_I13453";"1--130";"brick";1034
"BBa_K091171";"BBa_B0011";"989--1034";"brick";1034
"BBa_K091171";"BBa_B0012";"940--980";"brick";1034
"BBa_K091171";"BBa_B0034";"139--150";"brick";1034
"BBa_K098988";"BBa_S04138";"44--1813";"brick";1813
"BBa_K098988";"BBa_K098991";"881--1813";"brick";1813
"BBa_K098988";"BBa_K098998";"44--769";"brick";1813
"BBa_K098988";"BBa_E0040";"957--1676";"brick";1813
"BBa_K098988";"BBa_K098997";"56--769";"brick";1813
"BBa_K098988";"BBa_B0014";"778--872";"brick";1813
"BBa_K098988";"BBa_B0010";"1685--1764";"brick";1813
"BBa_K098988";"BBa_R0051";"881--929";"brick";1813
"BBa_K098988";"BBa_B0011";"827--872";"brick";1813
"BBa_K098988";"BBa_B0012";"778--818";"brick";1813
"BBa_K098988";"BBa_B0012";"1773--1813";"brick";1813
"BBa_K098988";"BBa_J23114";"1--35";"brick";1813
"BBa_K098988";"BBa_B0032";"938--950";"brick";1813
"BBa_K098988";"BBa_B0034";"44--55";"brick";1813
"BBa_K098995";"BBa_S04137";"44--929";"brick";929
"BBa_K098995";"BBa_K098998";"44--769";"brick";929
"BBa_K098995";"BBa_K098997";"56--769";"brick";929
"BBa_K098995";"BBa_S04136";"778--929";"brick";929
"BBa_K098995";"BBa_R0051";"881--929";"brick";929
"BBa_K098995";"BBa_B0011";"827--872";"brick";929
"BBa_K098995";"BBa_B0012";"778--818";"brick";929
"BBa_K098995";"BBa_J23114";"1--35";"brick";929
"BBa_K098995";"BBa_B0034";"44--55";"brick";929
"BBa_K101015";"BBa_E0040";"63--782";"brick";919
"BBa_K101015";"BBa_B0010";"791--870";"brick";919
"BBa_K101015";"BBa_B0012";"879--919";"brick";919
"BBa_K101015";"BBa_J23101";"1--35";"brick";919
"BBa_K101015";"BBa_B0032";"44--56";"brick";919
"BBa_K1017726";"BBa_I15009";"65--839";"brick";1640
"BBa_K1017726";"BBa_I15008";"867--1617";"brick";1640
"BBa_K1017726";"BBa_J23101";"1--35";"brick";1640
"BBa_K1017726";"BBa_B0030";"44--58";"brick";1640
"BBa_K1017726";"BBa_B0030";"1626--1640";"brick";1640
"BBa_K1017726";"BBa_B0032";"848--860";"brick";1640
"BBa_K1017781";"BBa_C0012";"1--1128";"brick";1482
"BBa_K1017781";"BBa_R0010";"1283--1482";"brick";1482
"BBa_K1017781";"BBa_J61048";"1162--1274";"brick";1482
"BBa_K1026004";"BBa_B0015";"211--339";"brick";339
"BBa_K1026004";"BBa_R0082";"1--108";"brick";339
"BBa_K1026004";"BBa_K1026003";"109--210";"brick";339
"BBa_K1026004";"BBa_B0010";"211--290";"brick";339
"BBa_K1026004";"BBa_B0012";"299--339";"brick";339
"BBa_K1036000";"BBa_K1036001";"1185--2550";"brick";2687
"BBa_K1036000";"BBa_F2621";"1--1158";"brick";2687
